3値分類


step 0, training accuracy 0.434659
step 1, training accuracy 0.534091
step 2, training accuracy 0.534091
step 3, training accuracy 0.659091
step 4, training accuracy 0.667614
step 5, training accuracy 0.744318
step 6, training accuracy 0.727273
step 7, training accuracy 0.784091
step 8, training accuracy 0.838068
step 9, training accuracy 0.840909
step 10, training accuracy 0.838068
step 11, training accuracy 0.894886
step 12, training accuracy 0.84375
step 13, training accuracy 0.880682
step 14, training accuracy 0.9375
step 15, training accuracy 0.948864
step 16, training accuracy 0.954545
step 17, training accuracy 0.963068
step 18, training accuracy 0.960227
step 19, training accuracy 0.965909
step 20, training accuracy 0.963068
step 21, training accuracy 0.974432
step 22, training accuracy 0.965909
step 23, training accuracy 0.971591
step 24, training accuracy 0.971591
step 25, training accuracy 0.977273
step 26, training accuracy 0.974432
step 27, training accuracy 0.980114
step 28, training accuracy 0.988636
step 29, training accuracy 0.994318
step 30, training accuracy 0.997159
step 31, training accuracy 0.997159
step 32, training accuracy 0.988636
step 33, training accuracy 0.988636
step 34, training accuracy 0.994318
step 35, training accuracy 0.991477
step 36, training accuracy 0.997159
step 37, training accuracy 0.997159
step 38, training accuracy 0.991477
step 39, training accuracy 0.997159
step 40, training accuracy 0.994318
step 41, training accuracy 0.994318
step 42, training accuracy 0.988636
step 43, training accuracy 0.988636
step 44, training accuracy 0.988636
step 45, training accuracy 0.994318
step 46, training accuracy 0.991477
step 47, training accuracy 1
step 48, training accuracy 0.994318
step 49, training accuracy 0.994318
step 50, training accuracy 0.991477
step 51, training accuracy 0.997159
step 52, training accuracy 0.994318
step 53, training accuracy 0.994318
step 54, training accuracy 0.994318
step 55, training accuracy 0.994318
step 56, training accuracy 0.994318
step 57, training accuracy 0.997159
step 58, training accuracy 0.994318
step 59, training accuracy 0.994318
step 60, training accuracy 0.994318
step 61, training accuracy 0.994318
step 62, training accuracy 0.994318
step 63, training accuracy 0.994318
step 64, training accuracy 0.997159
step 65, training accuracy 0.994318
step 66, training accuracy 0.988636
step 67, training accuracy 0.994318
step 68, training accuracy 1
step 69, training accuracy 0.991477
step 70, training accuracy 0.991477
step 71, training accuracy 0.994318
step 72, training accuracy 0.994318
step 73, training accuracy 0.994318
step 74, training accuracy 0.991477
step 75, training accuracy 0.994318
step 76, training accuracy 0.994318
step 77, training accuracy 0.994318
step 78, training accuracy 0.997159
step 79, training accuracy 0.991477
step 80, training accuracy 0.994318
step 81, training accuracy 0.991477
step 82, training accuracy 0.991477
step 83, training accuracy 0.991477
step 84, training accuracy 1
step 85, training accuracy 0.991477
step 86, training accuracy 0.997159
step 87, training accuracy 0.994318
step 88, training accuracy 0.991477
step 89, training accuracy 0.994318
step 90, training accuracy 0.994318
step 91, training accuracy 0.991477
step 92, training accuracy 0.991477
step 93, training accuracy 0.994318
step 94, training accuracy 0.991477
step 95, training accuracy 0.994318
step 96, training accuracy 0.991477
step 97, training accuracy 0.991477
step 98, training accuracy 0.991477
step 99, training accuracy 0.991477
test accuracy 0.824074
